,total frequency
people,327.5671029845126
still,309.37152998441053
lalate,299.568191279593
money,247.20016229647962
ssi,219.63945721532968
stimuluschecks,206.77929704954616
new,204.9213634068052
ssdi,178.2636875935286
one,174.170935697968
hunter,173.20010128945447
recipients,167.1634425174997
president,156.1882093209269
fpucretro,151.5566622165454
purplepower,149.9013135417859
subscribe,149.35262035119388
share,148.38648115001683
msc,148.34033698073404
even,143.8901577041111
said,142.45974033387654
yet,138.14167515665696
getting,136.68667484218213
receive,135.89070323481567
democrats,134.55361453668954
show,130.35396003298987
border,125.86619527987519
bidenbordercrisis,123.54880702047038
put,118.40128445540218
could,117.84470559458558
veterans,116.59054479128271
gun,110.65470368679107
april,108.67942206579276
never,108.16525900801508
see,105.81530700494488
update,104.81745829573313
country,104.25509704705587
last,104.09067655853175
another,103.92428279151783
many,102.17604840488545
much,101.40875280154432
make,99.33412177970268
day,99.08050425840118
first,98.19149702869277
american,96.65861465762143
today,96.4581366884748
way,95.89924587651188
want,93.81918598143204
million,93.59917033573423
really,93.45381029348069
nothing,92.26182841259956
back,91.8050457691324
recurring,91.13365869671708
every,90.85785337531881
direct,90.0161488192291
pandemic,89.92456981682477
work,89.52282227956974
week,88.76516350804272
say,88.42372589688439
right,88.01783716211149
made,87.24126733901655
socialsecurity,86.91647039104753
beneficiaries,86.54356854626421
think,85.66364570578259
may,85.0826842799784
bill,83.9114478253186
use,83.00476706292149
take,82.16896561953087
coming,80.56365161924327
relief,79.9321812414823
sent,78.73267453993053
return,78.0194931542992
lying,77.800570661038
pay,77.40914742353759
stimmy,76.67418484139029
media,75.71095687577223
disabled,74.13232418606452
year,73.3660998392948
two,72.78218242518018
due,72.60171886957916
home,72.56122690960687
lies,72.51189462668479
playing,72.19853061608684
also,71.90841143865198
form,69.34764612264803
anything,68.90072635338142
fact,68.5027686115536
let,68.02286726428026
send,67.6102793483531
already,67.4234205427588
date,67.13426023251735
lie,66.73115709547594
ssa,65.39085165278621
law,65.17049578729191
gotten,64.52733568648696
enough,61.96603906757238
mornings,60.20914170012389
real,58.80878779117644
honor,58.59433236392918
hard,58.441022882494266
video,58.37807296589051
stimuluscheckdisaster,57.71165415054199
admin,55.6297929984506
overnight,53.9448537125584
given,53.5765010678795
early,52.20447796812424
exclamation,49.75961851132826
thought,48.915901855893495
returns,48.85748653534497
war,42.501609056140346
name,41.52208512669912
markdouble,33.17307900755222
defend,32.608860030123346
random,32.21072411596629
defending,32.197538961928295
holiday,29.516339017403844
commemorate,28.715824806926154
